,keywords,number_of_times_word_appeared,tf,idf,tf_idf
180,asset,12,0.00066711140760507,-2.4849066497880004,-0.0016577095729072716
173,term,12,0.00066711140760507,-2.4849066497880004,-0.0016577095729072716
837,bitcoin,12,0.00066711140760507,-2.4849066497880004,-0.0016577095729072716
540,with,12,0.00066711140760507,-2.4849066497880004,-0.0016577095729072716
869,can,11,0.0006115187903046476,-2.3978952727983707,-0.0014663580164988926
938,valid,11,0.0006115187903046476,-2.3978952727983707,-0.0014663580164988926
393,OR,11,0.0006115187903046476,-2.3978952727983707,-0.0014663580164988926
597,BLOCK,10,0.0005559261730042251,-2.3025850929940455,-0.0012800673187647574
625,data,10,0.0005559261730042251,-2.3025850929940455,-0.0012800673187647574
280,part,10,0.0005559261730042251,-2.3025850929940455,-0.0012800673187647574
723,by,10,0.0005559261730042251,-2.3025850929940455,-0.0012800673187647574
747,top,10,0.0005559261730042251,-2.3025850929940455,-0.0012800673187647574
749,network,10,0.0005559261730042251,-2.3025850929940455,-0.0012800673187647574
595,able,10,0.0005559261730042251,-2.3025850929940455,-0.0012800673187647574
946,AND,10,0.0005559261730042251,-2.3025850929940455,-0.0012800673187647574
16,topedia,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
432,sets,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
923,over,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
111,out,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
434,peer,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
417,store,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
860,form,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
490,miner,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
673,Source,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
867,In,9,0.0005003335557038026,-2.1972245773362196,-0.0010993451854584154
355,first,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
265,ever,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
817,have,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
69,assets,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
430,token,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
414,asp,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
252,Sources,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
206,system,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
373,terms,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
765,currency,8,0.00044474093840338,-2.0794415416798357,-0.0009248127826016614
931,org,7,0.0003891483211029575,-1.9459101490553135,-0.000757247667522081
504,mining,7,0.0003891483211029575,-1.9459101490553135,-0.000757247667522081
263,computer,7,0.0003891483211029575,-1.9459101490553135,-0.000757247667522081
